detections,attack,application,category,threatType,severity,risk,region
379,Bredavi.Gen Command and Control Traffic,web-browsing,backdoor,malware,high,threat,americas
49,Bredolab.Gen Command and Control Traffic,web-browsing,botnet,malware,critical,threat,americas
5,Bredolab.Gen Command and Control Traffic,web-browsing,botnet,malware,critical,threat,americas
61,Bredolab.Gen Command and Control Traffic,web-browsing,botnet,malware,critical,threat,asiapacific
361,Bredolab.Gen Command and Control Traffic,web-browsing,botnet,malware,critical,threat,europe
7,Bredolab.Gen Command and Control Traffic,0,botnet,malware,critical,threat,americas
3377,Brontok User-Agent Traffic,web-browsing,spyware,malware,medium,threat,americas
3154,Brontok User-Agent Traffic,web-browsing,spyware,malware,medium,threat,asiapacific
924,Brontok User-Agent Traffic,web-browsing,spyware,malware,medium,threat,europe
44,Brontok User-Agent Traffic,0,spyware,malware,medium,threat,americas
5,Brontok User-Agent Traffic,0,spyware,malware,medium,threat,asiapacific
1,Buffalo AirStation WHR-G54S Web Management Cross-Site Request Forgery Vulnerability,http-proxy,code-execution,exploit,medium,threat,japan
1,Buffalo AirStation WHR-G54S Web Management Cross-Site Request Forgery Vulnerability,web-browsing,code-execution,exploit,medium,threat,japan
2,Buffer overflow in the On-Access Scanner in McAfee VirusScan,4shared,code-execution,exploit,medium,threat,americas
8,Buffer overflow in the On-Access Scanner in McAfee VirusScan,4shared,code-execution,exploit,medium,threat,europe
2,Buffer overflow in the On-Access Scanner in McAfee VirusScan,activesync,code-execution,exploit,medium,threat,asiapacific
1,Buffer overflow in the On-Access Scanner in McAfee VirusScan,dailymotion,code-execution,exploit,medium,threat,europe
24,Buffer overflow in the On-Access Scanner in McAfee VirusScan,daum-mail,code-execution,exploit,medium,threat,asiapacific
8,Buffer overflow in the On-Access Scanner in McAfee VirusScan,depositfiles,code-execution,exploit,medium,threat,asiapacific
16,Buffer overflow in the On-Access Scanner in McAfee VirusScan,depositfiles,code-execution,exploit,medium,threat,europe
56,Buffer overflow in the On-Access Scanner in McAfee VirusScan,depositfiles,code-execution,exploit,medium,threat,japan
844,Buffer overflow in the On-Access Scanner in McAfee VirusScan,eset-update,code-execution,exploit,medium,threat,americas
213,Buffer overflow in the On-Access Scanner in McAfee VirusScan,eset-update,code-execution,exploit,medium,threat,asiapacific
312,Buffer overflow in the On-Access Scanner in McAfee VirusScan,eset-update,code-execution,exploit,medium,threat,europe
44,Buffer overflow in the On-Access Scanner in McAfee VirusScan,eset-update,code-execution,exploit,medium,threat,japan
210,Buffer overflow in the On-Access Scanner in McAfee VirusScan,facebook-base,code-execution,exploit,medium,threat,asiapacific
3,Buffer overflow in the On-Access Scanner in McAfee VirusScan,facebook-base,code-execution,exploit,medium,threat,europe
1,Buffer overflow in the On-Access Scanner in McAfee VirusScan,facebook-chat,code-execution,exploit,medium,threat,asiapacific
3,Buffer overflow in the On-Access Scanner in McAfee VirusScan,facebook-file-sharing,code-execution,exploit,medium,threat,asiapacific
37,Buffer overflow in the On-Access Scanner in McAfee VirusScan,flash,code-execution,exploit,medium,threat,asiapacific
90,Buffer overflow in the On-Access Scanner in McAfee VirusScan,ftp,code-execution,exploit,medium,threat,asiapacific
45,Buffer overflow in the On-Access Scanner in McAfee VirusScan,ftp,code-execution,exploit,medium,threat,europe
3,Buffer overflow in the On-Access Scanner in McAfee VirusScan,google-analytics,code-execution,exploit,medium,threat,europe
1,Buffer overflow in the On-Access Scanner in McAfee VirusScan,google-translate-base,code-execution,exploit,medium,threat,europe
13,Buffer overflow in the On-Access Scanner in McAfee VirusScan,hotfile,code-execution,exploit,medium,threat,asiapacific
107,Buffer overflow in the On-Access Scanner in McAfee VirusScan,hotmail,code-execution,exploit,medium,threat,asiapacific
17,Buffer overflow in the On-Access Scanner in McAfee VirusScan,hotmail,code-execution,exploit,medium,threat,europe
2082,Buffer overflow in the On-Access Scanner in McAfee VirusScan,http-proxy,code-execution,exploit,medium,threat,asiapacific
129,Buffer overflow in the On-Access Scanner in McAfee VirusScan,http-proxy,code-execution,exploit,medium,threat,europe
12,Buffer overflow in the On-Access Scanner in McAfee VirusScan,http-proxy,code-execution,exploit,medium,threat,japan
2,Buffer overflow in the On-Access Scanner in McAfee VirusScan,ifile.it,code-execution,exploit,medium,threat,asiapacific
17,Buffer overflow in the On-Access Scanner in McAfee VirusScan,imap,code-execution,exploit,medium,threat,asiapacific
18,Buffer overflow in the On-Access Scanner in McAfee VirusScan,mediafire,code-execution,exploit,medium,threat,asiapacific
1,Buffer overflow in the On-Access Scanner in McAfee VirusScan,ms-ds-smb,code-execution,exploit,medium,threat,americas
6,Buffer overflow in the On-Access Scanner in McAfee VirusScan,ms-ds-smb,code-execution,exploit,medium,threat,europe
4,Buffer overflow in the On-Access Scanner in McAfee VirusScan,nakido-flag,code-execution,exploit,medium,threat,americas
405,Buffer overflow in the On-Access Scanner in McAfee VirusScan,netease-mail,code-execution,exploit,medium,threat,asiapacific
31,Buffer overflow in the On-Access Scanner in McAfee VirusScan,open-webmail,code-execution,exploit,medium,threat,asiapacific
7,Buffer overflow in the On-Access Scanner in McAfee VirusScan,outlook-web,code-execution,exploit,medium,threat,asiapacific
4,Buffer overflow in the On-Access Scanner in McAfee VirusScan,pop3,code-execution,exploit,medium,threat,americas
159,Buffer overflow in the On-Access Scanner in McAfee VirusScan,pop3,code-execution,exploit,medium,threat,asiapacific
16,Buffer overflow in the On-Access Scanner in McAfee VirusScan,pop3,code-execution,exploit,medium,threat,europe
10,Buffer overflow in the On-Access Scanner in McAfee VirusScan,putlocker,code-execution,exploit,medium,threat,asiapacific
11,Buffer overflow in the On-Access Scanner in McAfee VirusScan,qq-file-transfer,code-execution,exploit,medium,threat,asiapacific
4,Buffer overflow in the On-Access Scanner in McAfee VirusScan,qq-file-transfer,code-execution,exploit,medium,threat,europe
111,Buffer overflow in the On-Access Scanner in McAfee VirusScan,qq-mail,code-execution,exploit,medium,threat,asiapacific
1,Buffer overflow in the On-Access Scanner in McAfee VirusScan,rapidshare,code-execution,exploit,medium,threat,americas
2,Buffer overflow in the On-Access Scanner in McAfee VirusScan,rapidshare,code-execution,exploit,medium,threat,asiapacific
1,Buffer overflow in the On-Access Scanner in McAfee VirusScan,smtp,code-execution,exploit,medium,threat,americas
34388,Buffer overflow in the On-Access Scanner in McAfee VirusScan,smtp,code-execution,exploit,medium,threat,asiapacific
199,Buffer overflow in the On-Access Scanner in McAfee VirusScan,smtp,code-execution,exploit,medium,threat,europe
12,Buffer overflow in the On-Access Scanner in McAfee VirusScan,smtp,code-execution,exploit,medium,threat,japan
1,Buffer overflow in the On-Access Scanner in McAfee VirusScan,uploading,code-execution,exploit,medium,threat,japan
2,Buffer overflow in the On-Access Scanner in McAfee VirusScan,Web Multi-threaded Download,code-execution,exploit,medium,threat,asiapacific
257,Buffer overflow in the On-Access Scanner in McAfee VirusScan,web-browsing,code-execution,exploit,medium,threat,americas
12916,Buffer overflow in the On-Access Scanner in McAfee VirusScan,web-browsing,code-execution,exploit,medium,threat,asiapacific
300,Buffer overflow in the On-Access Scanner in McAfee VirusScan,web-browsing,code-execution,exploit,medium,threat,europe
60,Buffer overflow in the On-Access Scanner in McAfee VirusScan,web-browsing,code-execution,exploit,medium,threat,japan
1,Buffer overflow in the On-Access Scanner in McAfee VirusScan,web-crawler,code-execution,exploit,medium,threat,asiapacific
11,Buffer overflow in the On-Access Scanner in McAfee VirusScan,web-crawler,code-execution,exploit,medium,threat,europe
2,Buffer overflow in the On-Access Scanner in McAfee VirusScan,xunlei,code-execution,exploit,medium,threat,americas
25,Buffer overflow in the On-Access Scanner in McAfee VirusScan,xunlei,code-execution,exploit,medium,threat,asiapacific
1,Buffer overflow in the On-Access Scanner in McAfee VirusScan,yahoo-file-transfer,code-execution,exploit,medium,threat,asiapacific
105,Buffer overflow in the On-Access Scanner in McAfee VirusScan,yahoo-mail,code-execution,exploit,medium,threat,asiapacific
6,Buffer overflow in the On-Access Scanner in McAfee VirusScan,0,code-execution,exploit,medium,threat,americas
17651,Buffer overflow in the On-Access Scanner in McAfee VirusScan,0,code-execution,exploit,medium,threat,asiapacific
2,Buffer overflow in the On-Access Scanner in McAfee VirusScan,0,code-execution,exploit,medium,threat,europe
14,Buffer overflow in the On-Access Scanner in McAfee VirusScan,0,code-execution,exploit,medium,threat,japan
1,Buterat User-Agent Traffic,web-browsing,spyware,malware,medium,threat,americas
877,Buterat User-Agent Traffic,web-browsing,spyware,malware,medium,threat,asiapacific
8,Buterat User-Agent Traffic,web-browsing,spyware,malware,medium,threat,europe
39,Buterat.Gen Command and Control Traffic,web-browsing,backdoor,malware,medium,threat,americas
577,Buterat.Gen Command and Control Traffic,web-browsing,backdoor,malware,medium,threat,europe
13800,Buzus.Gen Command and Control Traffic,web-browsing,botnet,malware,critical,threat,americas
20546,Buzus.Gen Command and Control Traffic,web-browsing,botnet,malware,critical,threat,asiapacific
11531,Buzus.Gen Command and Control Traffic,web-browsing,botnet,malware,critical,threat,europe
11588,Buzus.Gen Command and Control Traffic,0,botnet,malware,critical,threat,americas
619,CA Alert Notification Server Threat Manager Overflow,arcserve,overflow,exploit,high,threat,europe
36,CA Alert Notification Server Threat Manager Overflow,ms-exchange,overflow,exploit,high,threat,europe
30,CA ARCserve Backup Engine Command Injection Vulnerability,arcserve,code-execution,exploit,high,threat,americas
1,CA Arcserve D2D GWT RPC Credentials Disclosure Vulnerability,outlook-web,code-execution,exploit,high,threat,americas
89,CA Arcserve D2D GWT RPC Credentials Disclosure Vulnerability,web-browsing,code-execution,exploit,high,threat,americas
139,CA Arcserve D2D GWT RPC Credentials Disclosure Vulnerability,web-browsing,code-execution,exploit,high,threat,asiapacific
10452,CA Arcserve D2D GWT RPC Credentials Disclosure Vulnerability,web-browsing,code-execution,exploit,high,threat,europe
35,CA BrightStor ARCserve Backup Activex AddColumn Buffer Overflow Vulnerability,web-browsing,overflow,exploit,medium,threat,asiapacific
8,CA BrightStor ARCServe Backup Agent For MSSQL Server Buffer Overflow,custom-tcp,code-execution,exploit,high,threat,americas
340,CA BrightStor ARCServe Backup Agent For MSSQL Server Buffer Overflow,custom-tcp,code-execution,exploit,high,threat,asiapacific
19,CA BrightStor ARCServe Backup Agent For MSSQL Server Buffer Overflow,custom-tcp,code-execution,exploit,high,threat,europe
30,CA BrightStor ARCServe Backup Mailslot Buffer Overflow Vulnerability,ms-ds-smb,overflow,exploit,high,threat,asiapacific
44,CA BrightStor ARCserve Backup Tape Engine RPC Code Execution,arcserve,code-execution,exploit,critical,threat,asiapacific
10,CA BrightStor ARCserve Backup Tape Engine RPC GetGroupStatus Buffer Overflow,arcserve,overflow,exploit,high,threat,americas
43,CA BrightStor ARCserve Backup Universal Agent Buffer Overflow,custom-tcp,overflow,exploit,critical,threat,asiapacific
1,CA BrightStor ARCserve Backup XDR Parsing Buffer Overflow,rpc,overflow,exploit,high,threat,europe
43,CA BrightStor ARCserve UDP Discovery Service Overflow,custom-udp,overflow,exploit,high,threat,asiapacific
6,CA Total Defense UNCWS Web Service Code Execution Vulnerability,web-browsing,code-execution,exploit,high,threat,americas
6,CA Total Defense UNCWS Web Service exportReport SQL Injection Vulnerability,web-browsing,sql-injection,exploit,high,threat,americas
6,CA Total Defense UNCWS Web Service UnAssignAdminUsers SQL Injection Vulnerability,web-browsing,sql-injection,exploit,high,threat,americas
32,Canvas Shell Access,ssl,code-execution,exploit,critical,threat,asiapacific
41,Canvas Shell Access,ssl,code-execution,exploit,critical,threat,europe
8,Canvas Shell Access,custom-tcp,code-execution,exploit,critical,threat,americas
57,Canvas Shell Access,custom-tcp,code-execution,exploit,critical,threat,asiapacific
8,Canvas Shell Access,custom-tcp,code-execution,exploit,critical,threat,europe
20,Canvas Shell Access,0,code-execution,exploit,critical,threat,americas
1,Canvas Shell Access,0,code-execution,exploit,critical,threat,asiapacific
4,Canvas Shell Access,0,code-execution,exploit,critical,threat,japan
1,CAPICOM.Certificates ActiveX Control Remote Code Execution,web-browsing,code-execution,exploit,high,threat,asiapacific
20,Cart32 authentication bypass vulnerability,http-proxy,code-execution,exploit,high,threat,europe
411,Cart32 authentication bypass vulnerability,web-browsing,code-execution,exploit,high,threat,americas
366,Cart32 authentication bypass vulnerability,web-browsing,code-execution,exploit,high,threat,asiapacific
56,Cart32 authentication bypass vulnerability,web-browsing,code-execution,exploit,high,threat,europe
7,CCProxy Ping Request Buffer Overflow Vulnerability,custom-tcp,overflow,exploit,medium,threat,americas
41,CCProxy Ping Request Buffer Overflow Vulnerability,custom-tcp,overflow,exploit,medium,threat,asiapacific
4,CDE DTLogin XDMCP Parser Remote Double Free Vulnerability,xdmcp,overflow,exploit,critical,threat,americas
6,CDE DTLogin XDMCP Parser Remote Double Free Vulnerability,0,overflow,exploit,critical,threat,americas
2,Chameleoon.toolbar Download Traffic,0,spyware,malware,medium,threat,americas
1289,Cisco Catalyst Remote Arbitrary Command Execution Vulnerability,web-browsing,code-execution,exploit,high,threat,americas
824,Cisco Catalyst Remote Arbitrary Command Execution Vulnerability,web-browsing,code-execution,exploit,high,threat,asiapacific
1824,Cisco Catalyst Remote Arbitrary Command Execution Vulnerability,web-browsing,code-execution,exploit,high,threat,europe
3,Cisco Collaboration Server ServletExec Unauthorized Access Vulnerability,flash,code-execution,exploit,medium,threat,americas
72,Cisco Collaboration Server ServletExec Unauthorized Access Vulnerability,web-browsing,code-execution,exploit,medium,threat,americas
221,Cisco Collaboration Server ServletExec Unauthorized Access Vulnerability,web-browsing,code-execution,exploit,medium,threat,asiapacific
4,Cisco Collaboration Server ServletExec Unauthorized Access Vulnerability,web-browsing,code-execution,exploit,medium,threat,europe
123,Cisco IOS FTP Server Remote Code Execution Vulnerability,ftp,code-execution,exploit,high,threat,asiapacific
1,Cisco IOS HTTP Configuration Arbitrary Administrative Access Vulnerability,bugzilla,code-execution,exploit,high,threat,europe
276,Cisco IOS HTTP Configuration Arbitrary Administrative Access Vulnerability,http-proxy,code-execution,exploit,high,threat,americas
1840,Cisco IOS HTTP Configuration Arbitrary Administrative Access Vulnerability,http-proxy,code-execution,exploit,high,threat,europe
14,Cisco IOS HTTP Configuration Arbitrary Administrative Access Vulnerability,outlook-web,code-execution,exploit,high,threat,europe
12130,Cisco IOS HTTP Configuration Arbitrary Administrative Access Vulnerability,web-browsing,code-execution,exploit,high,threat,americas
18938,Cisco IOS HTTP Configuration Arbitrary Administrative Access Vulnerability,web-browsing,code-execution,exploit,high,threat,asiapacific
5380,Cisco IOS HTTP Configuration Arbitrary Administrative Access Vulnerability,web-browsing,code-execution,exploit,high,threat,europe
134,Cisco IOS HTTP Configuration Arbitrary Administrative Access Vulnerability,web-browsing,code-execution,exploit,high,threat,japan
39,Cisco IOS Proxy Authentication FTP PASS Overflow Vulnerability,ftp,overflow,exploit,high,threat,asiapacific
123539,Cisco Malformed SNMP Message Format String Vulnerability,snmp-base,code-execution,exploit,medium,threat,americas
44,Cisco Malformed SNMP Message Format String Vulnerability,snmp-base,code-execution,exploit,medium,threat,asiapacific
3,Cisco Malformed SNMP Message Format String Vulnerability,snmp-base,code-execution,exploit,medium,threat,asiapacific
15215,Cisco Malformed SNMP Message Format String Vulnerability,snmp-base,code-execution,exploit,medium,threat,europe
122,Cisco Malformed SNMP Message Format String Vulnerability,snmp-base,code-execution,exploit,medium,threat,japan
26106,Cisco Malformed SNMP Message Format String Vulnerability,snmpv1,code-execution,exploit,medium,threat,americas
11323,Cisco Malformed SNMP Message Format String Vulnerability,snmpv1,code-execution,exploit,medium,threat,asiapacific
175753,Cisco Malformed SNMP Message Format String Vulnerability,snmpv1,code-execution,exploit,medium,threat,europe
61,Cisco Malformed SNMP Message Format String Vulnerability,snmpv1,code-execution,exploit,medium,threat,japan
2,Cisco Malformed SNMP Message Format String Vulnerability,0,code-execution,exploit,medium,threat,americas
17266,Cisco Malformed SNMP Message Format String Vulnerability,0,code-execution,exploit,medium,threat,asiapacific
9,Cisco Malformed SNMP Message Format String Vulnerability,0,code-execution,exploit,medium,threat,japan
14,Cisco Network Registrar Default Credentials Authentication Bypass Vulnerability,web-browsing,code-execution,exploit,high,threat,americas
15,Cisco Unified Communications Manager Multiple SQL Injections,web-browsing,sql-injection,exploit,high,threat,americas
42,Cisco User-Changeable Password CSuserCGI.exe Multiple Remote Vulnerabilities,custom-tcp,overflow,exploit,high,threat,americas
16,Cisco User-Changeable Password CSuserCGI.exe Multiple Remote Vulnerabilities,web-browsing,overflow,exploit,high,threat,americas
1,Cisco User-Changeable Password CSuserCGI.exe Multiple Remote Vulnerabilities,web-browsing,overflow,exploit,high,threat,asiapacific
35,Cisco Webex Meeting Manager Webexucfobject Activex Control Stack Buffer Overflow Vulnerability,web-browsing,overflow,exploit,high,threat,asiapacific
5,Citadel.Gen Command and Control Traffic,http-proxy,botnet,malware,critical,threat,asiapacific
507,Citadel.Gen Command and Control Traffic,http-proxy,botnet,malware,critical,threat,europe
1,Citadel.Gen Command and Control Traffic,http-proxy,botnet,malware,critical,threat,japan
28,Citadel.Gen Command and Control Traffic,web-browsing,botnet,malware,critical,threat,americas
62,Citadel.Gen Command and Control Traffic,web-browsing,botnet,malware,critical,threat,asiapacific
76,Citadel.Gen Command and Control Traffic,web-browsing,botnet,malware,critical,threat,europe
1,Citadel.Gen Command and Control Traffic,web-browsing,botnet,malware,critical,threat,japan
28,Citrix Program Neighborhood Agent Arbitrary Shortcut Creation,citrix,code-execution,exploit,high,threat,americas
37,Citrix Program Neighborhood Agent Arbitrary Shortcut Creation,web-browsing,code-execution,exploit,high,threat,japan
88,ClamAV libclamav PE File Handling Integer Overflow Vulnerability,ms-ds-smb,code-execution,exploit,high,threat,americas
73,ClamAV libclamav PE File Handling Integer Overflow Vulnerability,ms-ds-smb,code-execution,exploit,high,threat,asiapacific
2427,ClamAV libclamav PE File Handling Integer Overflow Vulnerability,ms-ds-smb,code-execution,exploit,high,threat,europe
409,ClamAV libclamav PE File Handling Integer Overflow Vulnerability,ms-ds-smb,code-execution,exploit,high,threat,japan
6,ClamAV libclamav PE File Handling Integer Overflow Vulnerability,smtp,code-execution,exploit,high,threat,americas
11,ClamAV libclamav PE File Handling Integer Overflow Vulnerability,smtp,code-execution,exploit,high,threat,europe
1557,ClamAV libclamav PE File Handling Integer Overflow Vulnerability,steam,code-execution,exploit,high,threat,americas
1,ClamAV libclamav PE File Handling Integer Overflow Vulnerability,web-browsing,code-execution,exploit,high,threat,asiapacific
1110,ClamAV libclamav PE File Handling Integer Overflow Vulnerability,0,code-execution,exploit,high,threat,americas
202,ClamAV libclamav PE File Handling Integer Overflow Vulnerability,0,code-execution,exploit,high,threat,asiapacific
85556,ClamAV libclamav PE File Handling Integer Overflow Vulnerability,0,code-execution,exploit,high,threat,japan
1,ClamAV UPX File Handling Heap Overflow,ms-ds-smb,code-execution,exploit,high,threat,europe
47,ClamAV UPX File Handling Heap Overflow,smtp,code-execution,exploit,high,threat,americas
84,ClamAV UPX File Handling Heap Overflow,smtp,code-execution,exploit,high,threat,asiapacific
9,ClamAV UPX File Handling Heap Overflow,web-browsing,code-execution,exploit,high,threat,asiapacific
14,CoDeSys CmpWebServer URI Handling Buffer Overflow Vulnerability,web-browsing,overflow,exploit,high,threat,americas
4,Coma.Gen Command and Control Traffic,custom-tcp,backdoor,malware,high,threat,asiapacific
31,Comet WebFileManager CheckUpload.php Language Parameter PHP File Include Vulnerability,web-browsing,code-execution,exploit,high,threat,americas
4,Comet WebFileManager CheckUpload.php Language Parameter PHP File Include Vulnerability,web-browsing,code-execution,exploit,high,threat,asiapacific
49,Comet WebFileManager CheckUpload.php Language Parameter PHP File Include Vulnerability,web-browsing,code-execution,exploit,high,threat,europe
20,Comet WebFileManager CheckUpload.php Language Parameter PHP File Include Vulnerability,webdav,code-execution,exploit,high,threat,europe
764,Comisproc User-Agent Traffic,web-browsing,spyware,malware,medium,threat,asiapacific
1368,Comisproc User-Agent Traffic,0,spyware,malware,medium,threat,asiapacific
40,CommuniGate and IBM Lotus Domino LDAP Server Integer Value Handling Buffer Overflow Vulnerability,ldap,code-execution,exploit,high,threat,americas
5,CommuniGate and IBM Lotus Domino LDAP Server Integer Value Handling Buffer Overflow Vulnerability,ldap,code-execution,exploit,high,threat,asiapacific
36,CommuniGate and IBM Lotus Domino LDAP Server Integer Value Handling Buffer Overflow Vulnerability,ldap,code-execution,exploit,high,threat,europe
1,CommuniGate and IBM Lotus Domino LDAP Server Integer Value Handling Buffer Overflow Vulnerability,ldap,code-execution,exploit,high,threat,japan
1,CommuniGate and IBM Lotus Domino LDAP Server Integer Value Handling Buffer Overflow Vulnerability,0,code-execution,exploit,high,threat,americas
43,Computer Associates BrightStor ARCServe Backup LGServer Stack Overflow,custom-tcp,overflow,exploit,high,threat,asiapacific
44,Computer Associates BrightStor ARCserve Backup Tape Engine RPC Buffer Overflow,arcserve,code-execution,exploit,high,threat,asiapacific
2,Computer Associates eTrust Intrusion Detection CallCode ActiveX Control Code Execution Vulnerability,ms-ds-smb,overflow,exploit,high,threat,americas
3,Computer Associates Products Discovery Service Buffer Overflow,custom-tcp,overflow,exploit,high,threat,americas
4,Computer Associates Products Discovery Service Buffer Overflow,custom-tcp,overflow,exploit,high,threat,asiapacific
6,Computer Associates Products Discovery Service Buffer Overflow,custom-tcp,overflow,exploit,high,threat,europe
5,Computer Associates Products Discovery Service Buffer Overflow,custom-udp,overflow,exploit,high,threat,americas
1,Computer Associates Products Discovery Service Buffer Overflow,custom-udp,overflow,exploit,high,threat,asiapacific
12,Computer Associates Products Discovery Service Buffer Overflow,custom-udp,overflow,exploit,high,threat,europe
7111924,Conficker DNS Request,dns,botnet,malware,high,threat,americas
6124580,Conficker DNS Request,dns,botnet,malware,high,threat,asiapacific
7326541,Conficker DNS Request,dns,botnet,malware,high,threat,europe
1053783,Conficker DNS Request,dns,botnet,malware,high,threat,japan
6696219,Conficker DNS Request,0,botnet,malware,high,threat,americas
400619,Conficker DNS Request,0,botnet,malware,high,threat,asiapacific
81239,Conficker DNS Request,0,botnet,malware,high,threat,europe
1252802,Conficker DNS Request,0,botnet,malware,high,threat,japan
1,Conficker.Inf Worm Traffic,hotmail,net-worm,malware,critical,threat,americas
8,Conficker.Inf Worm Traffic,ms-ds-smb,net-worm,malware,critical,threat,americas
8,Conficker.Inf Worm Traffic,ms-ds-smb,net-worm,malware,critical,threat,asiapacific
62,Conficker.Inf Worm Traffic,ms-ds-smb,net-worm,malware,critical,threat,europe
18,Conficker.Inf Worm Traffic,smtp,net-worm,malware,critical,threat,europe
2,ContentKeeper Web Interface Remote Command Execution,web-browsing,code-execution,exploit,medium,threat,americas
29,ContentKeeper Web Interface Remote Command Execution,web-browsing,code-execution,exploit,medium,threat,europe
4,Coppermine Photo Gallery picEditor.php Command Execution Vulnerability,web-browsing,code-execution,exploit,medium,threat,americas
29,Coppermine Photo Gallery picEditor.php Command Execution Vulnerability,web-browsing,code-execution,exploit,medium,threat,europe
12,Corehttp Remote Buffer Overflow Vulnerability,custom-tcp,overflow,exploit,high,threat,asiapacific
83,Corehttp Remote Buffer Overflow Vulnerability,custom-tcp,overflow,exploit,high,threat,europe
4,Corehttp Remote Buffer Overflow Vulnerability,web-browsing,overflow,exploit,high,threat,americas
43,Corehttp Remote Buffer Overflow Vulnerability,web-browsing,overflow,exploit,high,threat,asiapacific
144,Corehttp Remote Buffer Overflow Vulnerability,web-browsing,overflow,exploit,high,threat,europe
1,Corehttp Remote Buffer Overflow Vulnerability,web-browsing,overflow,exploit,high,threat,japan
1,Corel WordPerfect Office PRS Stack Buffer Overflow Vulnerability,hotmail,overflow,exploit,high,threat,americas
2,Corel WordPerfect Office PRS Stack Buffer Overflow Vulnerability,http-proxy,overflow,exploit,high,threat,americas
16,Corel WordPerfect Office PRS Stack Buffer Overflow Vulnerability,smtp,overflow,exploit,high,threat,americas
1,Corel WordPerfect Office PRS Stack Buffer Overflow Vulnerability,smtp,overflow,exploit,high,threat,europe
9,Corel WordPerfect Office PRS Stack Buffer Overflow Vulnerability,web-browsing,overflow,exploit,high,threat,americas
2,Corel WordPerfect Office PRS Stack Buffer Overflow Vulnerability,web-crawler,overflow,exploit,high,threat,americas
3,Courier-IMAP XMAILDIR Shell Command Injection Vulnerability,imap,code-execution,exploit,medium,threat,americas
11,Courier-IMAP XMAILDIR Shell Command Injection Vulnerability,imap,code-execution,exploit,medium,threat,asiapacific
2,Courier-IMAP XMAILDIR Shell Command Injection Vulnerability,0,code-execution,exploit,medium,threat,europe
1,Cridex.Gen Command And Control Traffic,ftp,spyware,malware,critical,threat,americas
2,Cridex.Gen Command And Control Traffic,http-proxy,spyware,malware,critical,threat,europe
4,Cridex.Gen Command And Control Traffic,ms-ds-smb,spyware,malware,critical,threat,asiapacific
2181,Cridex.Gen Command And Control Traffic,web-browsing,spyware,malware,critical,threat,americas
265,Cridex.Gen Command And Control Traffic,web-browsing,spyware,malware,critical,threat,americas
3400,Cridex.Gen Command And Control Traffic,web-browsing,spyware,malware,critical,threat,europe
2589,CS Chat-r-box csChatRBox.cgi setup Parameter Code Execution Vulnerability,web-browsing,code-execution,exploit,high,threat,americas
123,CS Chat-r-box csChatRBox.cgi setup Parameter Code Execution Vulnerability,web-browsing,code-execution,exploit,high,threat,asiapacific
8,CS Chat-r-box csChatRBox.cgi setup Parameter Code Execution Vulnerability,web-browsing,code-execution,exploit,high,threat,europe
1,CSGuestbook csGuestbook.cgi setup Parameter Code Execution Vulnerability,web-browsing,code-execution,exploit,high,threat,asiapacific
2,CSLiveSupport Setup Parameter Remote Code Execution Vulnerability,web-browsing,code-execution,exploit,medium,threat,asiapacific
1,csSearch csSearch.cgi Arbitrary Command Execution Vulnerability,web-browsing,code-execution,exploit,high,threat,asiapacific
2,Cutwail.Gen Command and Control Traffic,web-browsing,botnet,malware,high,threat,europe
57,Cutwail.Gen Command and Control Traffic,0,botnet,malware,high,threat,americas
16,CVS Entry Line Flag Heap Overflow Vulnerability,cvs,code-execution,exploit,high,threat,americas
121,CVS Entry Line Flag Heap Overflow Vulnerability,cvs,code-execution,exploit,high,threat,asiapacific
82,CVS Entry Line Flag Heap Overflow Vulnerability,cvs,code-execution,exploit,high,threat,europe
9,CVS Entry Line Flag Heap Overflow Vulnerability,cvs,code-execution,exploit,high,threat,japan
27,CVSTrac Filediff Remote Command Execution Vulnerability,web-browsing,code-execution,exploit,high,threat,americas
17227,Cycbot User-Agent Traffic,web-browsing,spyware,malware,medium,threat,americas
884,Cycbot User-Agent Traffic,web-browsing,spyware,malware,medium,threat,asiapacific
7681,Cycbot User-Agent Traffic,web-browsing,spyware,malware,medium,threat,europe
3638,Cycbot User-Agent Traffic,0,spyware,malware,medium,threat,americas
1809,Cycbot User-Agent Traffic,0,spyware,malware,medium,threat,asiapacific
43,DameWare Mini Remote Control Server Pre-Authentication Username Buffer Overflow Vulnerability,dameware-mini-remote,overflow,exploit,high,threat,asiapacific
986,Dana IRC Client Buffer Overflow Vulnerability,irc-base,overflow,exploit,high,threat,americas
18,Dana IRC Client Buffer Overflow Vulnerability,irc-base,overflow,exploit,high,threat,europe
33556,Dapato.Gen Phone Traffic,web-browsing,botnet,malware,critical,threat,americas
13,Dapato.Gen Phone Traffic,web-browsing,botnet,malware,critical,threat,asiapacific
42655,Dapato.Gen Phone Traffic,web-browsing,botnet,malware,critical,threat,europe
28,DAQFactory NETB Packet Stack Overflow Vulnerability,custom-udp,overflow,exploit,high,threat,europe
10585,DCOM RPC Interface Stack Overflow Exploit,msrpc,overflow,exploit,critical,threat,americas
4864,DCOM RPC Interface Stack Overflow Exploit,msrpc,overflow,exploit,critical,threat,asiapacific
1469,DCOM RPC Interface Stack Overflow Exploit,msrpc,overflow,exploit,critical,threat,europe
